,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
54,data/deepweeds/images/20171109-093143-1.jpg,Rubber vine,Rubber vine,"['data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20171109-091335-3.jpg', 'data/deepweeds/images/20171113-124517-3.jpg', 'data/deepweeds/images/20171121-084910-1.jpg', 'data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20170920-111229-2.jpg', 'data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20170920-130439-2.jpg']","['Prickly acacia', 'Rubber vine', 'Siam weed', 'Siam weed', 'Chinee apple', 'Parkinsonia', 'Snake weed', 'Parkinsonia']",Lantana,"['data/deepweeds/images/20170811-133144-1.jpg', 'data/deepweeds/images/20170913-121432-3.jpg', 'data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20170727-124521-1.jpg']","['Chinee apple', 'Parthenium', 'Prickly acacia', 'Prickly acacia']",Lantana,"['data/deepweeds/images/20171025-082114-2.jpg', 'data/deepweeds/images/20171113-142238-2.jpg']","['Parthenium', 'Siam weed']",Chinee apple,['data/deepweeds/images/20170727-124521-1.jpg'],['Prickly acacia'],Negative,[],[]
55,data/deepweeds/images/20170811-104825-2.jpg,Chinee apple,Chinee apple,"['data/deepweeds/images/20171025-100416-2.jpg', 'data/deepweeds/images/20170920-110443-2.jpg', 'data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20170920-114717-3.jpg', 'data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20180109-105153-1.jpg', 'data/deepweeds/images/20170920-101034-2.jpg']","['Parthenium', 'Parkinsonia', 'Lantana', 'Negative', 'Parkinsonia', 'Rubber vine', 'Negative', 'Parkinsonia']",Chinee apple,"['data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20171212-094952-1.jpg']","['Parthenium', 'Chinee apple', 'Rubber vine', 'Negative']",Chinee apple,"['data/deepweeds/images/20170920-111229-2.jpg', 'data/deepweeds/images/20171025-075255-3.jpg']","['Parkinsonia', 'Parthenium']",Chinee apple,['data/deepweeds/images/20180109-103216-1.jpg'],['Negative'],Negative,[],[]
56,data/deepweeds/images/20171109-194851-1.jpg,Rubber vine,Lantana,"['data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20171109-073321-3.jpg', 'data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20171025-100510-2.jpg', 'data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20170627-104853-0.jpg']","['Chinee apple', 'Rubber vine', 'Rubber vine', 'Parkinsonia', 'Parthenium', 'Siam weed', 'Rubber vine', 'Snake weed']",Chinee apple,"['data/deepweeds/images/20170913-121432-3.jpg', 'data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20180109-105153-1.jpg', 'data/deepweeds/images/20171025-100510-2.jpg']","['Parthenium', 'Lantana', 'Negative', 'Parthenium']",,,,,,,Negative,[],[]
57,data/deepweeds/images/20170718-132737-2.jpg,Snake weed,Chinee apple,"['data/deepweeds/images/20170410-160127-0.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20170714-120648-3.jpg', 'data/deepweeds/images/20170728-120256-2.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20180119-105242-2.jpg', 'data/deepweeds/images/20170920-172144-1.jpg', 'data/deepweeds/images/20171109-093143-1.jpg']","['Snake weed', 'Negative', 'Lantana', 'Prickly acacia', 'Lantana', 'Negative', 'Parkinsonia', 'Rubber vine']",Chinee apple,"['data/deepweeds/images/20170729-090327-1.jpg', 'data/deepweeds/images/20170727-120008-3.jpg', 'data/deepweeds/images/20170920-110443-2.jpg', 'data/deepweeds/images/20170210-142848-0.jpg']","['Prickly acacia', 'Prickly acacia', 'Parkinsonia', 'Snake weed']",Siam weed,"['data/deepweeds/images/20170920-172144-1.jpg', 'data/deepweeds/images/20170727-124521-1.jpg']","['Parkinsonia', 'Prickly acacia']",Chinee apple,['data/deepweeds/images/20171025-100416-2.jpg'],['Parthenium'],Siam weed,[],[]
58,data/deepweeds/images/20170920-101034-2.jpg,Parkinsonia,Parkinsonia,"['data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20170627-104853-0.jpg', 'data/deepweeds/images/20171113-135507-3.jpg', 'data/deepweeds/images/20170304-124640-0.jpg', 'data/deepweeds/images/20170727-113159-1.jpg', 'data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20170920-174414-1.jpg', 'data/deepweeds/images/20171109-093204-2.jpg']","['Parkinsonia', 'Snake weed', 'Siam weed', 'Chinee apple', 'Prickly acacia', 'Parthenium', 'Prickly acacia', 'Rubber vine']",Parkinsonia,"['data/deepweeds/images/20170410-154004-0.jpg', 'data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20180112-072618-2.jpg', 'data/deepweeds/images/20171109-074327-1.jpg']","['Chinee apple', 'Parkinsonia', 'Negative', 'Rubber vine']",Parkinsonia,"['data/deepweeds/images/20171109-093204-2.jpg', 'data/deepweeds/images/20180119-105242-2.jpg']","['Rubber vine', 'Negative']",Parkinsonia,['data/deepweeds/images/20170727-124521-1.jpg'],['Prickly acacia'],Parkinsonia,[],[]
59,data/deepweeds/images/20170727-164330-1.jpg,Prickly acacia,Parthenium,"['data/deepweeds/images/20170906-105453-1.jpg', 'data/deepweeds/images/20180119-105242-2.jpg', 'data/deepweeds/images/20170627-104853-0.jpg', 'data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20171113-135152-1.jpg', 'data/deepweeds/images/20170913-110133-3.jpg']","['Parthenium', 'Negative', 'Snake weed', 'Chinee apple', 'Rubber vine', 'Snake weed', 'Siam weed', 'Rubber vine']",Prickly acacia,"['data/deepweeds/images/20171025-075255-3.jpg', 'data/deepweeds/images/20180109-103216-1.jpg', 'data/deepweeds/images/20170627-104853-0.jpg', 'data/deepweeds/images/20171025-100510-2.jpg']","['Parthenium', 'Negative', 'Snake weed', 'Parthenium']",Prickly acacia,"['data/deepweeds/images/20170913-121432-3.jpg', 'data/deepweeds/images/20170728-120256-2.jpg']","['Parthenium', 'Prickly acacia']",Prickly acacia,['data/deepweeds/images/20170728-153152-2.jpg'],['Prickly acacia'],Prickly acacia,[],[]
60,data/deepweeds/images/20171102-103736-2.jpg,Parkinsonia,Parkinsonia,"['data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20170714-120648-3.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20170714-120304-3.jpg', 'data/deepweeds/images/20170913-121432-3.jpg', 'data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20171109-093602-2.jpg']","['Parkinsonia', 'Parthenium', 'Lantana', 'Rubber vine', 'Lantana', 'Parthenium', 'Prickly acacia', 'Rubber vine']",Parkinsonia,"['data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20170728-152004-1.jpg', 'data/deepweeds/images/20171102-123535-3.jpg', 'data/deepweeds/images/20170718-132737-2.jpg']","['Parkinsonia', 'Prickly acacia', 'Parkinsonia', 'Snake weed']",Parkinsonia,"['data/deepweeds/images/20170210-142848-0.jpg', 'data/deepweeds/images/20170630-154706-0.jpg']","['Snake weed', 'Snake weed']",Parkinsonia,['data/deepweeds/images/20180119-105242-2.jpg'],['Negative'],Parkinsonia,[],[]
61,data/deepweeds/images/20171113-142238-2.jpg,Siam weed,Parthenium,"['data/deepweeds/images/20171109-093551-2.jpg', 'data/deepweeds/images/20170714-120648-3.jpg', 'data/deepweeds/images/20171109-093143-1.jpg', 'data/deepweeds/images/20170714-140705-1.jpg', 'data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20170210-142647-0.jpg', 'data/deepweeds/images/20180109-105153-1.jpg']","['Rubber vine', 'Lantana', 'Rubber vine', 'Lantana', 'Parthenium', 'Parkinsonia', 'Snake weed', 'Negative']",Parthenium,"['data/deepweeds/images/20170718-132237-2.jpg', 'data/deepweeds/images/20170705-165040-0.jpg', 'data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20170920-111229-2.jpg']","['Snake weed', 'Snake weed', 'Negative', 'Parkinsonia']",Siam weed,"['data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20171113-142059-2.jpg']","['Parkinsonia', 'Siam weed']",,,,,,
62,data/deepweeds/images/20170630-154706-0.jpg,Snake weed,Negative,"['data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20170920-111042-3.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20170920-101034-2.jpg', 'data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20171113-132015-3.jpg', 'data/deepweeds/images/20180109-080158-1.jpg', 'data/deepweeds/images/20170920-174414-1.jpg']","['Chinee apple', 'Prickly acacia', 'Rubber vine', 'Parkinsonia', 'Negative', 'Siam weed', 'Negative', 'Prickly acacia']",Negative,"['data/deepweeds/images/20170718-132237-2.jpg', 'data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20171113-143028-3.jpg', 'data/deepweeds/images/20170714-120648-3.jpg']","['Snake weed', 'Prickly acacia', 'Siam weed', 'Lantana']",Lantana,"['data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20171113-135152-1.jpg']","['Negative', 'Siam weed']",,,,Negative,[],[]
63,data/deepweeds/images/20171113-135507-3.jpg,Siam weed,Siam weed,"['data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20171113-124517-3.jpg', 'data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20170920-101034-2.jpg', 'data/deepweeds/images/20171113-142059-2.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20170727-120008-3.jpg']","['Chinee apple', 'Siam weed', 'Chinee apple', 'Parkinsonia', 'Siam weed', 'Siam weed', 'Prickly acacia', 'Prickly acacia']",,,,Parthenium,"['data/deepweeds/images/20171212-094952-1.jpg', 'data/deepweeds/images/20170630-154706-0.jpg']","['Negative', 'Snake weed']",Parthenium,['data/deepweeds/images/20170727-164330-1.jpg'],['Prickly acacia'],Negative,[],[]
64,data/deepweeds/images/20171025-100416-2.jpg,Parthenium,Parthenium,"['data/deepweeds/images/20171025-082114-2.jpg', 'data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20170714-120022-3.jpg', 'data/deepweeds/images/20170920-101034-2.jpg', 'data/deepweeds/images/20171121-084910-1.jpg', 'data/deepweeds/images/20171205-134436-2.jpg', 'data/deepweeds/images/20170729-090327-1.jpg']","['Parthenium', 'Rubber vine', 'Siam weed', 'Lantana', 'Parkinsonia', 'Siam weed', 'Negative', 'Prickly acacia']",Parthenium,"['data/deepweeds/images/20171109-073321-3.jpg', 'data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20171212-094952-1.jpg', 'data/deepweeds/images/20170811-163650-1.jpg']","['Rubber vine', 'Parkinsonia', 'Negative', 'Chinee apple']",Parthenium,"['data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20170715-174216-1.jpg']","['Lantana', 'Lantana']",Parthenium,['data/deepweeds/images/20170630-154442-0.jpg'],['Snake weed'],Parthenium,[],[]
65,data/deepweeds/images/20171113-132015-3.jpg,Siam weed,Siam weed,"['data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20170920-114717-3.jpg', 'data/deepweeds/images/20170727-120008-3.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20171205-134436-2.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20171121-084910-1.jpg']","['Negative', 'Parkinsonia', 'Prickly acacia', 'Lantana', 'Negative', 'Siam weed', 'Parthenium', 'Siam weed']",Parthenium,"['data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20171109-093143-1.jpg', 'data/deepweeds/images/20171113-142238-2.jpg', 'data/deepweeds/images/20170210-142422-0.jpg']","['Parthenium', 'Rubber vine', 'Siam weed', 'Snake weed']",,,,Parthenium,['data/deepweeds/images/20171113-143028-3.jpg'],['Siam weed'],Parthenium,[],[]
66,data/deepweeds/images/20170913-121432-3.jpg,Parthenium,Parthenium,"['data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20171113-135507-3.jpg', 'data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20171109-073321-3.jpg', 'data/deepweeds/images/20170210-142647-0.jpg', 'data/deepweeds/images/20170728-120256-2.jpg', 'data/deepweeds/images/20170920-111042-3.jpg', 'data/deepweeds/images/20170727-124521-1.jpg']","['Rubber vine', 'Siam weed', 'Negative', 'Rubber vine', 'Snake weed', 'Prickly acacia', 'Prickly acacia', 'Prickly acacia']",Parthenium,"['data/deepweeds/images/20171212-094952-1.jpg', 'data/deepweeds/images/20170304-124640-0.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20171109-091335-3.jpg']","['Negative', 'Chinee apple', 'Lantana', 'Rubber vine']",Parthenium,"['data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20170706-112624-0.jpg']","['Chinee apple', 'Snake weed']",Parthenium,['data/deepweeds/images/20171113-092801-1.jpg'],['Rubber vine'],Parthenium,[],[]
67,data/deepweeds/images/20170920-111042-3.jpg,Prickly acacia,Prickly acacia,"['data/deepweeds/images/20180112-072618-2.jpg', 'data/deepweeds/images/20170127-101415-0.jpg', 'data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20171102-120816-1.jpg', 'data/deepweeds/images/20170714-142559-2.jpg', 'data/deepweeds/images/20171025-075255-3.jpg']","['Negative', 'Lantana', 'Chinee apple', 'Parthenium', 'Rubber vine', 'Parkinsonia', 'Lantana', 'Parthenium']",Prickly acacia,"['data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20171113-143028-3.jpg', 'data/deepweeds/images/20170630-154442-0.jpg']","['Negative', 'Rubber vine', 'Siam weed', 'Snake weed']",Prickly acacia,"['data/deepweeds/images/20170920-174414-1.jpg', 'data/deepweeds/images/20170410-160127-0.jpg']","['Prickly acacia', 'Snake weed']",Prickly acacia,['data/deepweeds/images/20171113-135507-3.jpg'],['Siam weed'],Prickly acacia,[],[]
68,data/deepweeds/images/20170920-114717-3.jpg,Parkinsonia,Prickly acacia,"['data/deepweeds/images/20170210-133043-0.jpg', 'data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20171025-100510-2.jpg', 'data/deepweeds/images/20171205-134436-2.jpg', 'data/deepweeds/images/20170304-124640-0.jpg', 'data/deepweeds/images/20171025-080031-3.jpg']","['Chinee apple', 'Negative', 'Parkinsonia', 'Lantana', 'Parthenium', 'Negative', 'Chinee apple', 'Parthenium']",Parthenium,"['data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20170727-120008-3.jpg', 'data/deepweeds/images/20171113-124517-3.jpg', 'data/deepweeds/images/20180125-100709-2.jpg']","['Lantana', 'Prickly acacia', 'Siam weed', 'Negative']",Parthenium,"['data/deepweeds/images/20180109-080158-1.jpg', 'data/deepweeds/images/20170727-113159-1.jpg']","['Negative', 'Prickly acacia']",,,,Prickly acacia,[],[]
69,data/deepweeds/images/20171109-093204-2.jpg,Rubber vine,Negative,"['data/deepweeds/images/20170127-101415-0.jpg', 'data/deepweeds/images/20170920-111042-3.jpg', 'data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20170210-133043-0.jpg', 'data/deepweeds/images/20171113-092801-1.jpg', 'data/deepweeds/images/20170729-090327-1.jpg', 'data/deepweeds/images/20171113-135152-1.jpg']","['Lantana', 'Prickly acacia', 'Chinee apple', 'Parthenium', 'Chinee apple', 'Rubber vine', 'Prickly acacia', 'Siam weed']",Negative,"['data/deepweeds/images/20170630-154442-0.jpg', 'data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20171109-091335-3.jpg', 'data/deepweeds/images/20171205-134436-2.jpg']","['Snake weed', 'Snake weed', 'Rubber vine', 'Negative']",Negative,"['data/deepweeds/images/20171113-135152-1.jpg', 'data/deepweeds/images/20171025-080031-3.jpg']","['Siam weed', 'Parthenium']",Negative,['data/deepweeds/images/20170727-164330-1.jpg'],['Prickly acacia'],Negative,[],[]
70,data/deepweeds/images/20170210-142848-0.jpg,Snake weed,Chinee apple,"['data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20170714-120648-3.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20170705-165040-0.jpg', 'data/deepweeds/images/20170127-101415-0.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20170728-153152-2.jpg', 'data/deepweeds/images/20170729-092929-2.jpg']","['Parkinsonia', 'Lantana', 'Rubber vine', 'Snake weed', 'Lantana', 'Negative', 'Prickly acacia', 'Prickly acacia']",Lantana,"['data/deepweeds/images/20171113-132015-3.jpg', 'data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20170920-111229-2.jpg', 'data/deepweeds/images/20170718-132000-2.jpg']","['Siam weed', 'Negative', 'Parkinsonia', 'Chinee apple']",Lantana,"['data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20170630-154706-0.jpg']","['Rubber vine', 'Snake weed']",Chinee apple,['data/deepweeds/images/20170714-120304-3.jpg'],['Lantana'],Lantana,[],[]
71,data/deepweeds/images/20170920-174414-1.jpg,Prickly acacia,Prickly acacia,"['data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20170127-101927-0.jpg', 'data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20170210-133043-0.jpg', 'data/deepweeds/images/20170210-142647-0.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20170728-152004-1.jpg', 'data/deepweeds/images/20171025-092626-2.jpg']","['Prickly acacia', 'Lantana', 'Rubber vine', 'Chinee apple', 'Snake weed', 'Lantana', 'Prickly acacia', 'Parthenium']",Prickly acacia,"['data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20170906-095420-4.jpg', 'data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20171025-075255-3.jpg']","['Rubber vine', 'Parthenium', 'Lantana', 'Parthenium']",Prickly acacia,"['data/deepweeds/images/20170920-111042-3.jpg', 'data/deepweeds/images/20171025-082114-2.jpg']","['Prickly acacia', 'Parthenium']",Parkinsonia,['data/deepweeds/images/20170727-113159-1.jpg'],['Prickly acacia'],Prickly acacia,[],[]
72,data/deepweeds/images/20171113-132754-3.jpg,Siam weed,Negative,"['data/deepweeds/images/20170906-105453-1.jpg', 'data/deepweeds/images/20170304-124640-0.jpg', 'data/deepweeds/images/20171025-100510-2.jpg', 'data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20170728-153152-2.jpg', 'data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20170811-104825-2.jpg']","['Parthenium', 'Chinee apple', 'Parthenium', 'Parthenium', 'Negative', 'Prickly acacia', 'Snake weed', 'Chinee apple']",Negative,"['data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20170714-120648-3.jpg', 'data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20170913-110133-3.jpg']","['Negative', 'Lantana', 'Negative', 'Rubber vine']",Negative,"['data/deepweeds/images/20171113-132015-3.jpg', 'data/deepweeds/images/20171109-093143-1.jpg']","['Siam weed', 'Rubber vine']",Negative,['data/deepweeds/images/20170126-095837-0.jpg'],['Lantana'],Negative,[],[]
73,data/deepweeds/images/20171109-073321-3.jpg,Rubber vine,Negative,"['data/deepweeds/images/20170811-133144-1.jpg', 'data/deepweeds/images/20171025-100416-2.jpg', 'data/deepweeds/images/20171113-124517-3.jpg', 'data/deepweeds/images/20171102-120816-1.jpg', 'data/deepweeds/images/20170714-140705-1.jpg', 'data/deepweeds/images/20170410-154004-0.jpg', 'data/deepweeds/images/20170630-154442-0.jpg', 'data/deepweeds/images/20170729-090327-1.jpg']","['Chinee apple', 'Parthenium', 'Siam weed', 'Parkinsonia', 'Lantana', 'Chinee apple', 'Snake weed', 'Prickly acacia']",,,,Parkinsonia,"['data/deepweeds/images/20171102-123535-3.jpg', 'data/deepweeds/images/20170920-130439-2.jpg']","['Parkinsonia', 'Parkinsonia']",Negative,['data/deepweeds/images/20171102-103736-2.jpg'],['Parkinsonia'],Negative,[],[]
74,data/deepweeds/images/20170728-120256-2.jpg,Prickly acacia,Negative,"['data/deepweeds/images/20170627-104853-0.jpg', 'data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20171025-075255-3.jpg', 'data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20170729-090327-1.jpg', 'data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20170127-101927-0.jpg', 'data/deepweeds/images/20170630-154706-0.jpg']","['Snake weed', 'Snake weed', 'Parthenium', 'Chinee apple', 'Prickly acacia', 'Rubber vine', 'Lantana', 'Snake weed']",Parkinsonia,"['data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20171113-135507-3.jpg', 'data/deepweeds/images/20171212-094952-1.jpg', 'data/deepweeds/images/20180109-105153-1.jpg']","['Rubber vine', 'Siam weed', 'Negative', 'Negative']",Siam weed,"['data/deepweeds/images/20170705-165040-0.jpg', 'data/deepweeds/images/20171113-135507-3.jpg']","['Snake weed', 'Siam weed']",,,,,,
75,data/deepweeds/images/20171025-100510-2.jpg,Parthenium,Parthenium,"['data/deepweeds/images/20170714-120304-3.jpg', 'data/deepweeds/images/20171025-082114-2.jpg', 'data/deepweeds/images/20170920-172144-1.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20170811-163650-1.jpg', 'data/deepweeds/images/20170714-120022-3.jpg', 'data/deepweeds/images/20171113-135152-1.jpg', 'data/deepweeds/images/20180119-105242-2.jpg']","['Lantana', 'Parthenium', 'Parkinsonia', 'Lantana', 'Chinee apple', 'Lantana', 'Siam weed', 'Negative']",Siam weed,"['data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20180109-080158-1.jpg', 'data/deepweeds/images/20170811-104825-2.jpg', 'data/deepweeds/images/20170210-142422-0.jpg']","['Snake weed', 'Negative', 'Chinee apple', 'Snake weed']",Siam weed,"['data/deepweeds/images/20170410-160127-0.jpg', 'data/deepweeds/images/20170714-120022-3.jpg']","['Snake weed', 'Lantana']",Chinee apple,['data/deepweeds/images/20170405-160013-0.jpg'],['Chinee apple'],Siam weed,[],[]
76,data/deepweeds/images/20171205-134436-2.jpg,Negative,Negative,"['data/deepweeds/images/20170729-090327-1.jpg', 'data/deepweeds/images/20170729-092929-2.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20171025-100510-2.jpg', 'data/deepweeds/images/20170715-174216-1.jpg', 'data/deepweeds/images/20171113-092801-1.jpg', 'data/deepweeds/images/20170811-133144-1.jpg']","['Prickly acacia', 'Prickly acacia', 'Rubber vine', 'Parthenium', 'Parthenium', 'Lantana', 'Rubber vine', 'Chinee apple']",Negative,"['data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20170727-124521-1.jpg']","['Parthenium', 'Negative', 'Parkinsonia', 'Prickly acacia']",Negative,"['data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20170210-142647-0.jpg']","['Parthenium', 'Snake weed']",Negative,['data/deepweeds/images/20170920-101034-2.jpg'],['Parkinsonia'],Negative,[],[]
77,data/deepweeds/images/20171102-123535-3.jpg,Parkinsonia,Parkinsonia,"['data/deepweeds/images/20170405-160013-0.jpg', 'data/deepweeds/images/20170304-124640-0.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20170920-174414-1.jpg', 'data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20170728-120256-2.jpg', 'data/deepweeds/images/20170811-104825-2.jpg', 'data/deepweeds/images/20170714-110205-1.jpg']","['Chinee apple', 'Chinee apple', 'Rubber vine', 'Prickly acacia', 'Parthenium', 'Prickly acacia', 'Chinee apple', 'Lantana']",Parkinsonia,"['data/deepweeds/images/20170210-142647-0.jpg', 'data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20170410-160127-0.jpg', 'data/deepweeds/images/20171102-103736-2.jpg']","['Snake weed', 'Negative', 'Snake weed', 'Parkinsonia']",Parthenium,"['data/deepweeds/images/20171109-091335-3.jpg', 'data/deepweeds/images/20170714-120022-3.jpg']","['Rubber vine', 'Lantana']",Parkinsonia,['data/deepweeds/images/20170920-174414-1.jpg'],['Prickly acacia'],Parkinsonia,[],[]
78,data/deepweeds/images/20170729-090327-1.jpg,Prickly acacia,Prickly acacia,"['data/deepweeds/images/20180112-072618-2.jpg', 'data/deepweeds/images/20170727-124521-1.jpg', 'data/deepweeds/images/20170630-154706-0.jpg', 'data/deepweeds/images/20171025-075255-3.jpg', 'data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20170410-154004-0.jpg', 'data/deepweeds/images/20170714-142559-2.jpg', 'data/deepweeds/images/20180112-081137-2.jpg']","['Negative', 'Prickly acacia', 'Snake weed', 'Parthenium', 'Parthenium', 'Chinee apple', 'Lantana', 'Negative']",Prickly acacia,"['data/deepweeds/images/20170920-111042-3.jpg', 'data/deepweeds/images/20180112-072618-2.jpg', 'data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20170718-132237-2.jpg']","['Prickly acacia', 'Negative', 'Chinee apple', 'Snake weed']",Prickly acacia,"['data/deepweeds/images/20170627-104853-0.jpg', 'data/deepweeds/images/20180109-103216-1.jpg']","['Snake weed', 'Negative']",Prickly acacia,['data/deepweeds/images/20170811-163650-1.jpg'],['Chinee apple'],Prickly acacia,[],[]
