,0,1,Embedding # of Shots 8,Embedding Example Paths 8,Embedding Example Categories 8,Embedding Same Category Count 8,Random # of Shots 8,Random Example Paths 8,Random Example Categories 8,Random Same Category Count 8,Random # of Shots 4,Random Example Paths 4,Random Example Categories 4,Random Same Category Count 4,Embedding # of Shots 4,Embedding Example Paths 4,Embedding Example Categories 4,Embedding Same Category Count 4,Embedding # of Shots 2,Embedding Example Paths 2,Embedding Example Categories 2,Embedding Same Category Count 2,Random # of Shots 2,Random Example Paths 2,Random Example Categories 2,Random Same Category Count 2,Random # of Shots 1,Random Example Paths 1,Random Example Categories 1,Random Same Category Count 1,Embedding # of Shots 1,Embedding Example Paths 1,Embedding Example Categories 1,Embedding Same Category Count 1,Random # of Shots 0,Random Example Paths 0,Random Example Categories 0,Random Same Category Count 0,Embedding # of Shots 0,Embedding Example Paths 0,Embedding Example Categories 0,Embedding Same Category Count 0
74,./data/deepweeds/images/20170728-120256-2.jpg,Prickly acacia,Prickly acacia,"['./data/deepweeds/images/20170727-124521-1.jpg', './data/deepweeds/images/20170913-110133-3.jpg', './data/deepweeds/images/20170729-090327-1.jpg', './data/deepweeds/images/20170920-110443-2.jpg', './data/deepweeds/images/20170920-174414-1.jpg', './data/deepweeds/images/20180112-081137-2.jpg', './data/deepweeds/images/20171212-095841-3.jpg', './data/deepweeds/images/20170727-120008-3.jpg']","['Prickly acacia', 'Rubber vine', 'Prickly acacia', 'Parkinsonia', 'Prickly acacia', 'Negative', 'Negative', 'Prickly acacia']",4.0,Prickly acacia,"['./data/deepweeds/images/20170727-124521-1.jpg', './data/deepweeds/images/20170729-090327-1.jpg', './data/deepweeds/images/20170706-112624-0.jpg', './data/deepweeds/images/20170410-160127-0.jpg', './data/deepweeds/images/20180109-103216-1.jpg', './data/deepweeds/images/20171025-082114-2.jpg', './data/deepweeds/images/20171109-091335-3.jpg', './data/deepweeds/images/20180119-105242-2.jpg']","['Prickly acacia', 'Prickly acacia', 'Snake weed', 'Snake weed', 'Negative', 'Parthenium', 'Rubber vine', 'Negative']",2.0,Negative,"['./data/deepweeds/images/20170705-165040-0.jpg', './data/deepweeds/images/20171025-082439-1.jpg', './data/deepweeds/images/20171212-095841-3.jpg', './data/deepweeds/images/20171113-132015-3.jpg']","['Snake weed', 'Chinee apple', 'Negative', 'Siam weed']",0.0,Prickly acacia,"['./data/deepweeds/images/20170727-124521-1.jpg', './data/deepweeds/images/20170913-110133-3.jpg', './data/deepweeds/images/20170729-090327-1.jpg', './data/deepweeds/images/20170920-110443-2.jpg']","['Prickly acacia', 'Rubber vine', 'Prickly acacia', 'Parkinsonia']",2.0,Snake weed,"['./data/deepweeds/images/20170727-124521-1.jpg', './data/deepweeds/images/20170913-110133-3.jpg']","['Prickly acacia', 'Rubber vine']",1.0,Parthenium,"['./data/deepweeds/images/20170920-174414-1.jpg', './data/deepweeds/images/20170630-154442-0.jpg']","['Prickly acacia', 'Snake weed']",1.0,Parthenium,['./data/deepweeds/images/20180109-080158-1.jpg'],['Negative'],0.0,Snake weed,['./data/deepweeds/images/20170727-124521-1.jpg'],['Prickly acacia'],1.0,Parthenium,[],[],0.0,Parthenium,[],[],0.0
75,./data/deepweeds/images/20171025-100510-2.jpg,Parthenium,Parthenium,"['./data/deepweeds/images/20171025-092626-2.jpg', './data/deepweeds/images/20171025-100416-2.jpg', './data/deepweeds/images/20180109-105153-1.jpg', './data/deepweeds/images/20171025-082114-2.jpg', './data/deepweeds/images/20170210-142848-0.jpg', './data/deepweeds/images/20170210-133043-0.jpg', './data/deepweeds/images/20170920-111042-3.jpg', './data/deepweeds/images/20171025-082133-3.jpg']","['Parthenium', 'Parthenium', 'Negative', 'Parthenium', 'Snake weed', 'Chinee apple', 'Prickly acacia', 'Parthenium']",4.0,Parthenium,"['./data/deepweeds/images/20171025-075255-3.jpg', './data/deepweeds/images/20170410-160127-0.jpg', './data/deepweeds/images/20171025-082133-3.jpg', './data/deepweeds/images/20180125-100709-2.jpg', './data/deepweeds/images/20170920-114717-3.jpg', './data/deepweeds/images/20170630-154442-0.jpg', './data/deepweeds/images/20170920-095313-3.jpg', './data/deepweeds/images/20171102-123535-3.jpg']","['Parthenium', 'Snake weed', 'Parthenium', 'Negative', 'Parkinsonia', 'Snake weed', 'Parkinsonia', 'Parkinsonia']",2.0,Parthenium,"['./data/deepweeds/images/20170714-120022-3.jpg', './data/deepweeds/images/20180119-105242-2.jpg', './data/deepweeds/images/20171109-093551-2.jpg', './data/deepweeds/images/20170126-095837-0.jpg']","['Lantana', 'Negative', 'Rubber vine', 'Lantana']",0.0,Parthenium,"['./data/deepweeds/images/20171025-092626-2.jpg', './data/deepweeds/images/20171025-100416-2.jpg', './data/deepweeds/images/20180109-105153-1.jpg', './data/deepweeds/images/20171025-082114-2.jpg']","['Parthenium', 'Parthenium', 'Negative', 'Parthenium']",3.0,Parthenium,"['./data/deepweeds/images/20171025-092626-2.jpg', './data/deepweeds/images/20171025-100416-2.jpg']","['Parthenium', 'Parthenium']",2.0,Parthenium,"['./data/deepweeds/images/20171109-074327-1.jpg', './data/deepweeds/images/20170728-120256-2.jpg']","['Rubber vine', 'Prickly acacia']",0.0,Parthenium,['./data/deepweeds/images/20170811-162102-1.jpg'],['Chinee apple'],0.0,Parthenium,['./data/deepweeds/images/20171025-092626-2.jpg'],['Parthenium'],1.0,Parthenium,[],[],0.0,Parthenium,[],[],0.0
76,./data/deepweeds/images/20171205-134436-2.jpg,Negative,Negative,"['./data/deepweeds/images/20171212-094952-1.jpg', './data/deepweeds/images/20171109-093602-2.jpg', './data/deepweeds/images/20170913-110133-3.jpg', './data/deepweeds/images/20171109-093551-2.jpg', './data/deepweeds/images/20171109-073321-3.jpg', './data/deepweeds/images/20171025-080031-3.jpg', './data/deepweeds/images/20171109-194851-1.jpg', './data/deepweeds/images/20170127-101927-0.jpg']","['Negative', 'Rubber vine', 'Rubber vine', 'Rubber vine', 'Rubber vine', 'Parthenium', 'Rubber vine', 'Lantana']",1.0,Negative,"['./data/deepweeds/images/20170714-142559-2.jpg', './data/deepweeds/images/20170714-110205-1.jpg', './data/deepweeds/images/20170127-101927-0.jpg', './data/deepweeds/images/20170630-154442-0.jpg', './data/deepweeds/images/20170729-090327-1.jpg', './data/deepweeds/images/20170920-174414-1.jpg', './data/deepweeds/images/20170210-142647-0.jpg', './data/deepweeds/images/20170920-130439-2.jpg']","['Lantana', 'Lantana', 'Lantana', 'Snake weed', 'Prickly acacia', 'Prickly acacia', 'Snake weed', 'Parkinsonia']",0.0,Negative,"['./data/deepweeds/images/20171113-132015-3.jpg', './data/deepweeds/images/20180112-081137-2.jpg', './data/deepweeds/images/20171109-093602-2.jpg', './data/deepweeds/images/20171212-095841-3.jpg']","['Siam weed', 'Negative', 'Rubber vine', 'Negative']",2.0,Negative,"['./data/deepweeds/images/20171212-094952-1.jpg', './data/deepweeds/images/20171109-093602-2.jpg', './data/deepweeds/images/20170913-110133-3.jpg', './data/deepweeds/images/20171109-093551-2.jpg']","['Negative', 'Rubber vine', 'Rubber vine', 'Rubber vine']",1.0,Negative,"['./data/deepweeds/images/20171212-094952-1.jpg', './data/deepweeds/images/20171109-093602-2.jpg']","['Negative', 'Rubber vine']",1.0,Negative,"['./data/deepweeds/images/20171109-093602-2.jpg', './data/deepweeds/images/20171025-100510-2.jpg']","['Rubber vine', 'Parthenium']",0.0,Negative,['./data/deepweeds/images/20170811-133144-1.jpg'],['Chinee apple'],0.0,Negative,['./data/deepweeds/images/20171212-094952-1.jpg'],['Negative'],1.0,Negative,[],[],0.0,Negative,[],[],0.0
77,./data/deepweeds/images/20171102-123535-3.jpg,Parkinsonia,Parkinsonia,"['./data/deepweeds/images/20180112-081137-2.jpg', './data/deepweeds/images/20170729-090327-1.jpg', './data/deepweeds/images/20170727-120008-3.jpg', './data/deepweeds/images/20171102-120816-1.jpg', './data/deepweeds/images/20171102-103736-2.jpg', './data/deepweeds/images/20171113-132754-3.jpg', './data/deepweeds/images/20170811-130004-1.jpg', './data/deepweeds/images/20170811-162102-1.jpg']","['Negative', 'Prickly acacia', 'Prickly acacia', 'Parkinsonia', 'Parkinsonia', 'Siam weed', 'Chinee apple', 'Chinee apple']",2.0,Parthenium,"['./data/deepweeds/images/20180119-105242-2.jpg', './data/deepweeds/images/20170714-140705-1.jpg', './data/deepweeds/images/20171113-092801-1.jpg', './data/deepweeds/images/20171113-133118-3.jpg', './data/deepweeds/images/20171109-194851-1.jpg', './data/deepweeds/images/20180112-081137-2.jpg', './data/deepweeds/images/20180112-072356-2.jpg', './data/deepweeds/images/20170920-095313-3.jpg']","['Negative', 'Lantana', 'Rubber vine', 'Siam weed', 'Rubber vine', 'Negative', 'Negative', 'Parkinsonia']",1.0,Prickly acacia,"['./data/deepweeds/images/20170210-142647-0.jpg', './data/deepweeds/images/20171102-103736-2.jpg', './data/deepweeds/images/20170714-120648-3.jpg', './data/deepweeds/images/20171113-132754-3.jpg']","['Snake weed', 'Parkinsonia', 'Lantana', 'Siam weed']",1.0,Parkinsonia,"['./data/deepweeds/images/20180112-081137-2.jpg', './data/deepweeds/images/20170729-090327-1.jpg', './data/deepweeds/images/20170727-120008-3.jpg', './data/deepweeds/images/20171102-120816-1.jpg']","['Negative', 'Prickly acacia', 'Prickly acacia', 'Parkinsonia']",1.0,Parthenium,"['./data/deepweeds/images/20180112-081137-2.jpg', './data/deepweeds/images/20170729-090327-1.jpg']","['Negative', 'Prickly acacia']",0.0,Negative,"['./data/deepweeds/images/20171025-074729-2.jpg', './data/deepweeds/images/20170127-101927-0.jpg']","['Parthenium', 'Lantana']",0.0,Parthenium,['./data/deepweeds/images/20171025-100416-2.jpg'],['Parthenium'],0.0,Parthenium,['./data/deepweeds/images/20180112-081137-2.jpg'],['Negative'],0.0,Parthenium,[],[],0.0,Parthenium,[],[],0.0
78,./data/deepweeds/images/20170729-090327-1.jpg,Prickly acacia,Parkinsonia,"['./data/deepweeds/images/20170920-110443-2.jpg', './data/deepweeds/images/20170920-172144-1.jpg', './data/deepweeds/images/20170727-164330-1.jpg', './data/deepweeds/images/20180112-081137-2.jpg', './data/deepweeds/images/20170729-092929-2.jpg', './data/deepweeds/images/20171025-082133-3.jpg', './data/deepweeds/images/20170920-130439-2.jpg', './data/deepweeds/images/20170920-114717-3.jpg']","['Parkinsonia', 'Parkinsonia', 'Prickly acacia', 'Negative', 'Prickly acacia', 'Parthenium', 'Parkinsonia', 'Parkinsonia']",2.0,Parthenium,"['./data/deepweeds/images/20171109-074327-1.jpg', './data/deepweeds/images/20171102-120816-1.jpg', './data/deepweeds/images/20170913-121432-3.jpg', './data/deepweeds/images/20171212-094952-1.jpg', './data/deepweeds/images/20170714-140705-1.jpg', './data/deepweeds/images/20171113-135507-3.jpg', './data/deepweeds/images/20171025-075255-3.jpg', './data/deepweeds/images/20171109-091335-3.jpg']","['Rubber vine', 'Parkinsonia', 'Parthenium', 'Negative', 'Lantana', 'Siam weed', 'Parthenium', 'Rubber vine']",0.0,Negative,"['./data/deepweeds/images/20171109-073321-3.jpg', './data/deepweeds/images/20170714-120648-3.jpg', './data/deepweeds/images/20170811-162102-1.jpg', './data/deepweeds/images/20171109-074327-1.jpg']","['Rubber vine', 'Lantana', 'Chinee apple', 'Rubber vine']",0.0,Negative,"['./data/deepweeds/images/20170920-110443-2.jpg', './data/deepweeds/images/20170920-172144-1.jpg', './data/deepweeds/images/20170727-164330-1.jpg', './data/deepweeds/images/20180112-081137-2.jpg']","['Parkinsonia', 'Parkinsonia', 'Prickly acacia', 'Negative']",1.0,Snake weed,"['./data/deepweeds/images/20170920-110443-2.jpg', './data/deepweeds/images/20170920-172144-1.jpg']","['Parkinsonia', 'Parkinsonia']",0.0,Parkinsonia,"['./data/deepweeds/images/20170920-095313-3.jpg', './data/deepweeds/images/20171102-120816-1.jpg']","['Parkinsonia', 'Parkinsonia']",0.0,Negative,['./data/deepweeds/images/20171025-100416-2.jpg'],['Parthenium'],0.0,Snake weed,['./data/deepweeds/images/20170920-110443-2.jpg'],['Parkinsonia'],0.0,Negative,[],[],0.0,Negative,[],[],0.0
79,./data/deepweeds/images/20170727-120008-3.jpg,Prickly acacia,Prickly acacia,"['./data/deepweeds/images/20170727-124521-1.jpg', './data/deepweeds/images/20170729-090327-1.jpg', './data/deepweeds/images/20170811-130004-1.jpg', './data/deepweeds/images/20170913-110133-3.jpg', './data/deepweeds/images/20171102-123535-3.jpg', './data/deepweeds/images/20180112-081137-2.jpg', './data/deepweeds/images/20170727-164330-1.jpg', './data/deepweeds/images/20170728-120256-2.jpg']","['Prickly acacia', 'Prickly acacia', 'Chinee apple', 'Rubber vine', 'Parkinsonia', 'Negative', 'Prickly acacia', 'Prickly acacia']",4.0,Prickly acacia,"['./data/deepweeds/images/20170920-174414-1.jpg', './data/deepweeds/images/20170728-153152-2.jpg', './data/deepweeds/images/20170729-092929-2.jpg', './data/deepweeds/images/20171205-134436-2.jpg', './data/deepweeds/images/20170714-142559-2.jpg', './data/deepweeds/images/20170410-160127-0.jpg', './data/deepweeds/images/20171109-093204-2.jpg', './data/deepweeds/images/20170920-114717-3.jpg']","['Prickly acacia', 'Prickly acacia', 'Prickly acacia', 'Negative', 'Lantana', 'Snake weed', 'Rubber vine', 'Parkinsonia']",3.0,Negative,"['./data/deepweeds/images/20170811-104825-2.jpg', './data/deepweeds/images/20170210-142647-0.jpg', './data/deepweeds/images/20171109-073321-3.jpg', './data/deepweeds/images/20170906-105453-1.jpg']","['Chinee apple', 'Snake weed', 'Rubber vine', 'Parthenium']",0.0,Negative,"['./data/deepweeds/images/20170727-124521-1.jpg', './data/deepweeds/images/20170729-090327-1.jpg', './data/deepweeds/images/20170811-130004-1.jpg', './data/deepweeds/images/20170913-110133-3.jpg']","['Prickly acacia', 'Prickly acacia', 'Chinee apple', 'Rubber vine']",2.0,Prickly acacia,"['./data/deepweeds/images/20170727-124521-1.jpg', './data/deepweeds/images/20170729-090327-1.jpg']","['Prickly acacia', 'Prickly acacia']",2.0,Negative,"['./data/deepweeds/images/20170811-104825-2.jpg', './data/deepweeds/images/20170906-105453-1.jpg']","['Chinee apple', 'Parthenium']",0.0,Negative,['./data/deepweeds/images/20171109-093602-2.jpg'],['Rubber vine'],0.0,Snake weed,['./data/deepweeds/images/20170727-124521-1.jpg'],['Prickly acacia'],1.0,Negative,[],[],0.0,Negative,[],[],0.0
80,./data/deepweeds/images/20171109-093602-2.jpg,Rubber vine,Rubber vine,"['./data/deepweeds/images/20171109-073321-3.jpg', './data/deepweeds/images/20170127-101927-0.jpg', './data/deepweeds/images/20171109-194851-1.jpg', './data/deepweeds/images/20170127-101415-0.jpg', './data/deepweeds/images/20170126-095837-0.jpg', './data/deepweeds/images/20171109-093551-2.jpg', './data/deepweeds/images/20170718-132237-2.jpg', './data/deepweeds/images/20171113-143028-3.jpg']","['Rubber vine', 'Lantana', 'Rubber vine', 'Lantana', 'Lantana', 'Rubber vine', 'Snake weed', 'Siam weed']",3.0,Chinee apple,"['./data/deepweeds/images/20171102-103736-2.jpg', './data/deepweeds/images/20170714-120648-3.jpg', './data/deepweeds/images/20171025-080031-3.jpg', './data/deepweeds/images/20170715-174216-1.jpg', './data/deepweeds/images/20170729-092929-2.jpg', './data/deepweeds/images/20171212-095841-3.jpg', './data/deepweeds/images/20180112-072618-2.jpg', './data/deepweeds/images/20170920-111229-2.jpg']","['Parkinsonia', 'Lantana', 'Parthenium', 'Lantana', 'Prickly acacia', 'Negative', 'Negative', 'Parkinsonia']",0.0,Parkinsonia,"['./data/deepweeds/images/20171109-093143-1.jpg', './data/deepweeds/images/20170729-092929-2.jpg', './data/deepweeds/images/20170728-120256-2.jpg', './data/deepweeds/images/20170728-152004-1.jpg']","['Rubber vine', 'Prickly acacia', 'Prickly acacia', 'Prickly acacia']",1.0,Rubber vine,"['./data/deepweeds/images/20171109-073321-3.jpg', './data/deepweeds/images/20170127-101927-0.jpg', './data/deepweeds/images/20171109-194851-1.jpg', './data/deepweeds/images/20170127-101415-0.jpg']","['Rubber vine', 'Lantana', 'Rubber vine', 'Lantana']",2.0,Snake weed,"['./data/deepweeds/images/20171109-073321-3.jpg', './data/deepweeds/images/20170127-101927-0.jpg']","['Rubber vine', 'Lantana']",1.0,Parthenium,"['./data/deepweeds/images/20170714-120304-3.jpg', './data/deepweeds/images/20171113-132015-3.jpg']","['Lantana', 'Siam weed']",0.0,Parthenium,['./data/deepweeds/images/20170727-120008-3.jpg'],['Prickly acacia'],0.0,Siam weed,['./data/deepweeds/images/20171109-073321-3.jpg'],['Rubber vine'],1.0,Parthenium,[],[],0.0,Parthenium,[],[],0.0
81,./data/deepweeds/images/20170718-132237-2.jpg,Snake weed,Snake weed,"['./data/deepweeds/images/20170718-132000-2.jpg', './data/deepweeds/images/20170410-160127-0.jpg', './data/deepweeds/images/20171109-093602-2.jpg', './data/deepweeds/images/20170126-095837-0.jpg', './data/deepweeds/images/20170127-101415-0.jpg', './data/deepweeds/images/20171109-194851-1.jpg', './data/deepweeds/images/20171113-143028-3.jpg', './data/deepweeds/images/20170718-132737-2.jpg']","['Chinee apple', 'Snake weed', 'Rubber vine', 'Lantana', 'Lantana', 'Rubber vine', 'Siam weed', 'Snake weed']",2.0,Siam weed,"['./data/deepweeds/images/20180125-100709-2.jpg', './data/deepweeds/images/20171113-132754-3.jpg', './data/deepweeds/images/20170920-111042-3.jpg', './data/deepweeds/images/20170906-095420-4.jpg', './data/deepweeds/images/20170630-154706-0.jpg', './data/deepweeds/images/20171025-100416-2.jpg', './data/deepweeds/images/20170906-105453-1.jpg', './data/deepweeds/images/20171113-143028-3.jpg']","['Negative', 'Siam weed', 'Prickly acacia', 'Parthenium', 'Snake weed', 'Parthenium', 'Parthenium', 'Siam weed']",1.0,Parthenium,"['./data/deepweeds/images/20170210-142848-0.jpg', './data/deepweeds/images/20171109-091107-1.jpg', './data/deepweeds/images/20170627-104853-0.jpg', './data/deepweeds/images/20171113-135152-1.jpg']","['Snake weed', 'Rubber vine', 'Snake weed', 'Siam weed']",2.0,Chinee apple,"['./data/deepweeds/images/20170718-132000-2.jpg', './data/deepweeds/images/20170410-160127-0.jpg', './data/deepweeds/images/20171109-093602-2.jpg', './data/deepweeds/images/20170126-095837-0.jpg']","['Chinee apple', 'Snake weed', 'Rubber vine', 'Lantana']",1.0,Snake weed,"['./data/deepweeds/images/20170718-132000-2.jpg', './data/deepweeds/images/20170410-160127-0.jpg']","['Chinee apple', 'Snake weed']",1.0,Negative,"['./data/deepweeds/images/20170811-130004-1.jpg', './data/deepweeds/images/20170718-132737-2.jpg']","['Chinee apple', 'Snake weed']",1.0,Negative,['./data/deepweeds/images/20170811-130004-1.jpg'],['Chinee apple'],0.0,Lantana,['./data/deepweeds/images/20170718-132000-2.jpg'],['Chinee apple'],0.0,Negative,[],[],0.0,Negative,[],[],0.0
82,./data/deepweeds/images/20180109-080158-1.jpg,Negative,Parkinsonia,"['./data/deepweeds/images/20171113-124517-3.jpg', './data/deepweeds/images/20171113-142238-2.jpg', './data/deepweeds/images/20171113-133118-3.jpg', './data/deepweeds/images/20171113-143028-3.jpg', './data/deepweeds/images/20170920-101034-2.jpg', './data/deepweeds/images/20170920-111229-2.jpg', './data/deepweeds/images/20170705-165040-0.jpg', './data/deepweeds/images/20170127-101927-0.jpg']","['Siam weed', 'Siam weed', 'Siam weed', 'Siam weed', 'Parkinsonia', 'Parkinsonia', 'Snake weed', 'Lantana']",0.0,Siam weed,"['./data/deepweeds/images/20170630-154442-0.jpg', './data/deepweeds/images/20171113-124517-3.jpg', './data/deepweeds/images/20170913-110133-3.jpg', './data/deepweeds/images/20170920-111229-2.jpg', './data/deepweeds/images/20170210-142422-0.jpg', './data/deepweeds/images/20170127-101415-0.jpg', './data/deepweeds/images/20170728-153152-2.jpg', './data/deepweeds/images/20170920-095313-3.jpg']","['Snake weed', 'Siam weed', 'Rubber vine', 'Parkinsonia', 'Snake weed', 'Lantana', 'Prickly acacia', 'Parkinsonia']",0.0,Snake weed,"['./data/deepweeds/images/20171113-135507-3.jpg', './data/deepweeds/images/20171109-091107-1.jpg', './data/deepweeds/images/20170727-113159-1.jpg', './data/deepweeds/images/20171113-132754-3.jpg']","['Siam weed', 'Rubber vine', 'Prickly acacia', 'Siam weed']",0.0,Negative,"['./data/deepweeds/images/20171113-124517-3.jpg', './data/deepweeds/images/20171113-142238-2.jpg', './data/deepweeds/images/20171113-133118-3.jpg', './data/deepweeds/images/20171113-143028-3.jpg']","['Siam weed', 'Siam weed', 'Siam weed', 'Siam weed']",0.0,Negative,"['./data/deepweeds/images/20171113-124517-3.jpg', './data/deepweeds/images/20171113-142238-2.jpg']","['Siam weed', 'Siam weed']",0.0,Negative,"['./data/deepweeds/images/20170727-124521-1.jpg', './data/deepweeds/images/20171212-095841-3.jpg']","['Prickly acacia', 'Negative']",1.0,Negative,['./data/deepweeds/images/20171025-100416-2.jpg'],['Parthenium'],0.0,Negative,['./data/deepweeds/images/20171113-124517-3.jpg'],['Siam weed'],0.0,Negative,[],[],0.0,Negative,[],[],0.0
83,./data/deepweeds/images/20170811-163650-1.jpg,Chinee apple,Chinee apple,"['./data/deepweeds/images/20170811-133144-1.jpg', './data/deepweeds/images/20170410-154004-0.jpg', './data/deepweeds/images/20170811-162102-1.jpg', './data/deepweeds/images/20170920-174414-1.jpg', './data/deepweeds/images/20170627-104853-0.jpg', './data/deepweeds/images/20170630-154442-0.jpg', './data/deepweeds/images/20171025-082439-1.jpg', './data/deepweeds/images/20180109-105153-1.jpg']","['Chinee apple', 'Chinee apple', 'Chinee apple', 'Prickly acacia', 'Snake weed', 'Snake weed', 'Chinee apple', 'Negative']",4.0,Chinee apple,"['./data/deepweeds/images/20170913-121432-3.jpg', './data/deepweeds/images/20170728-152004-1.jpg', './data/deepweeds/images/20170913-110133-3.jpg', './data/deepweeds/images/20170920-095313-3.jpg', './data/deepweeds/images/20180125-100709-2.jpg', './data/deepweeds/images/20170126-095837-0.jpg', './data/deepweeds/images/20171109-093204-2.jpg', './data/deepweeds/images/20170714-140705-1.jpg']","['Parthenium', 'Prickly acacia', 'Rubber vine', 'Parkinsonia', 'Negative', 'Lantana', 'Rubber vine', 'Lantana']",0.0,Chinee apple,"['./data/deepweeds/images/20170727-113159-1.jpg', './data/deepweeds/images/20170714-110205-1.jpg', './data/deepweeds/images/20170127-101415-0.jpg', './data/deepweeds/images/20170718-132000-2.jpg']","['Prickly acacia', 'Lantana', 'Lantana', 'Chinee apple']",1.0,Chinee apple,"['./data/deepweeds/images/20170811-133144-1.jpg', './data/deepweeds/images/20170410-154004-0.jpg', './data/deepweeds/images/20170811-162102-1.jpg', './data/deepweeds/images/20170920-174414-1.jpg']","['Chinee apple', 'Chinee apple', 'Chinee apple', 'Prickly acacia']",3.0,Chinee apple,"['./data/deepweeds/images/20170811-133144-1.jpg', './data/deepweeds/images/20170410-154004-0.jpg']","['Chinee apple', 'Chinee apple']",2.0,Chinee apple,"['./data/deepweeds/images/20170715-174216-1.jpg', './data/deepweeds/images/20171121-084910-1.jpg']","['Lantana', 'Siam weed']",0.0,Chinee apple,['./data/deepweeds/images/20171109-074327-1.jpg'],['Rubber vine'],0.0,Chinee apple,['./data/deepweeds/images/20170811-133144-1.jpg'],['Chinee apple'],1.0,Chinee apple,[],[],0.0,Chinee apple,[],[],0.0
84,./data/deepweeds/images/20171113-135152-1.jpg,Siam weed,Parthenium,"['./data/deepweeds/images/20171121-084910-1.jpg', './data/deepweeds/images/20170127-101415-0.jpg', './data/deepweeds/images/20171113-140251-1.jpg', './data/deepweeds/images/20170811-162102-1.jpg', './data/deepweeds/images/20170718-132737-2.jpg', './data/deepweeds/images/20180112-072618-2.jpg', './data/deepweeds/images/20170627-104853-0.jpg', './data/deepweeds/images/20170920-095313-3.jpg']","['Siam weed', 'Lantana', 'Siam weed', 'Chinee apple', 'Snake weed', 'Negative', 'Snake weed', 'Parkinsonia']",2.0,Siam weed,"['./data/deepweeds/images/20170920-130439-2.jpg', './data/deepweeds/images/20170127-101927-0.jpg', './data/deepweeds/images/20171109-073321-3.jpg', './data/deepweeds/images/20171109-194851-1.jpg', './data/deepweeds/images/20170718-132237-2.jpg', './data/deepweeds/images/20170811-133144-1.jpg', './data/deepweeds/images/20180112-072618-2.jpg', './data/deepweeds/images/20170714-142559-2.jpg']","['Parkinsonia', 'Lantana', 'Rubber vine', 'Rubber vine', 'Snake weed', 'Chinee apple', 'Negative', 'Lantana']",0.0,Siam weed,"['./data/deepweeds/images/20171025-100510-2.jpg', './data/deepweeds/images/20171113-142059-2.jpg', './data/deepweeds/images/20171025-074729-2.jpg', './data/deepweeds/images/20170718-132737-2.jpg']","['Parthenium', 'Siam weed', 'Parthenium', 'Snake weed']",1.0,Rubber vine,"['./data/deepweeds/images/20171121-084910-1.jpg', './data/deepweeds/images/20170127-101415-0.jpg', './data/deepweeds/images/20171113-140251-1.jpg', './data/deepweeds/images/20170811-162102-1.jpg']","['Siam weed', 'Lantana', 'Siam weed', 'Chinee apple']",2.0,Parthenium,"['./data/deepweeds/images/20171121-084910-1.jpg', './data/deepweeds/images/20170127-101415-0.jpg']","['Siam weed', 'Lantana']",1.0,Siam weed,"['./data/deepweeds/images/20170630-154706-0.jpg', './data/deepweeds/images/20171109-074327-1.jpg']","['Snake weed', 'Rubber vine']",0.0,Siam weed,['./data/deepweeds/images/20170811-163650-1.jpg'],['Chinee apple'],0.0,Parthenium,['./data/deepweeds/images/20171121-084910-1.jpg'],['Siam weed'],1.0,Siam weed,[],[],0.0,Siam weed,[],[],0.0
